Airline,Origin,Destination,Low,High,Class
AA,US,AG,17.5,45,ECO
AA,US,AG,30,70,FIRST
AA,US,AI,17.5,45,ECO
AA,US,AI,30,70,FIRST
AA,US,AW,17.5,45,ECO
AA,US,AW,30,70,FIRST
AA,US,BB,17.5,45,ECO
AA,US,BB,30,70,FIRST
AA,US,BM,17.5,45,ECO
AA,US,BM,30,70,FIRST
AA,US,BQ,17.5,45,ECO
AA,US,BQ,30,70,FIRST
AA,US,BS,17.5,45,ECO
AA,US,BS,30,70,FIRST
AA,US,CU,17.5,45,ECO
AA,US,CU,30,70,FIRST
AA,US,CW,17.5,45,ECO
AA,US,CW,30,70,FIRST
AA,US,DM,17.5,45,ECO
AA,US,DM,30,70,FIRST
AA,US,DO,17.5,45,ECO
AA,US,DO,30,70,FIRST
AA,US,GD,17.5,45,ECO
AA,US,GD,30,70,FIRST
AA,US,GP,17.5,45,ECO
AA,US,GP,30,70,FIRST
AA,US,GY,17.5,45,ECO
AA,US,GY,30,70,FIRST
AA,US,HT,17.5,45,ECO
AA,US,HT,30,70,FIRST
AA,US,JM,17.5,45,ECO
AA,US,JM,30,70,FIRST
AA,US,KN,17.5,45,ECO
AA,US,KN,30,70,FIRST
AA,US,KY,17.5,45,ECO
AA,US,KY,30,70,FIRST
AA,US,LC,17.5,45,ECO
AA,US,LC,30,70,FIRST
AA,US,MQ,17.5,45,ECO
AA,US,MQ,30,70,FIRST
AA,US,MS,17.5,45,ECO
AA,US,MS,30,70,FIRST
AA,US,PR,17.5,45,ECO
AA,US,PR,30,70,FIRST
AA,US,SX,17.5,45,ECO
AA,US,SX,30,70,FIRST
AA,US,TC,17.5,45,ECO
AA,US,TC,30,70,FIRST
AA,US,TT,17.5,45,ECO
AA,US,TT,30,70,FIRST
AA,US,VC,17.5,45,ECO
AA,US,VC,30,70,FIRST
AA,US,VG,17.5,45,ECO
AA,US,VG,30,70,FIRST
AA,US,VI,17.5,45,ECO
AA,US,VI,30,70,FIRST
AA,US,AF,40,80,ECO
AA,US,AF,60,175,FIRST
AA,US,BD,40,80,ECO
AA,US,BD,60,175,FIRST
AA,US,BT,40,80,ECO
AA,US,BT,60,175,FIRST
AA,US,IN,40,80,ECO
AA,US,IN,60,175,FIRST
AA,US,IO,40,80,ECO
AA,US,IO,60,175,FIRST
AA,US,LK,40,80,ECO
AA,US,LK,60,175,FIRST
AA,US,MV,40,80,ECO
AA,US,MV,60,175,FIRST
AA,US,NP,40,80,ECO
AA,US,NP,60,175,FIRST
AA,US,PK,40,80,ECO
AA,US,PK,60,175,FIRST
AA,US,CA,12.5,30,ECO
AA,US,CA,22.5,50,FIRST
AA,US,US,12.5,30,ECO
AA,US,US,22.5,50,FIRST
AA,US,BZ,17.5,45,ECO
AA,US,BZ,30,70,FIRST
AA,US,CR,17.5,45,ECO
AA,US,CR,30,70,FIRST
AA,US,GT,17.5,45,ECO
AA,US,GT,30,70,FIRST
AA,US,HN,17.5,45,ECO
AA,US,HN,30,70,FIRST
AA,US,NI,17.5,45,ECO
